country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Greece,GRC,23-10-2021,12557691,6593178,6341057,26340,23462,121.09,63.57,61.14,2262,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,23-10-2021,,,,,51,,,,897,Moderna,Government of Greenland,https://corona.nun.gl
Grenada,GRD,23-10-2021,,,,,352,,,,3115,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Guatemala,GTM,23-10-2021,8316740,5189377,3127363,21371,40019,45.57,28.44,17.14,2193,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,23-10-2021,,,,,65,,,,1025,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,23-10-2021,,,,,18534,,,,1373,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1458701221368406020
Guinea-Bissau,GNB,23-10-2021,,,,,807,,,,400,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guyana,GUY,23-10-2021,,,,,1679,,,,2124,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2732105440426318/
Haiti,HTI,23-10-2021,,,,,1663,,,,144,"Johnson&Johnson, Moderna",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Honduras,HND,23-10-2021,,,,,73196,,,,7274,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Hong Kong,HKG,23-10-2021,8972148,4587744,4384314,14096,11223,118.79,60.74,58.05,1486,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,23-10-2021,,,,,19211,,,,1994,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-8-ezer-beoltott-10-265-az-uj-fertozott-elhunyt-178-beteg
Iceland,ISL,23-10-2021,,,,,670,,,,1951,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,23-10-2021,1013637431,714084133,299553298,3691768,5850184,72.75,51.25,21.5,4198,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,23-10-2021,179437660,112271928,67165732,1624952,1514396,64.93,40.62,24.3,5480,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
Iran,IRN,23-10-2021,79533819,50604321,28872959,,1121170,93.54,59.51,33.96,13186,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://www.isna.ir/news/1400082216920
Iraq,IRQ,23-10-2021,,,,,62660,,,,1522,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Ireland,IRL,23-10-2021,7313281,3805633,3743900,4111,3422,146.77,76.37,75.13,687,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,23-10-2021,,,,,196,,,,2295,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,23-10-2021,15842346,6223358,5717932,4297,12930,170.51,66.98,61.54,1392,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,23-10-2021,88715747,46462820,42719912,132214,166601,146.96,76.97,70.77,2760,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,23-10-2021,891142,577283,358007,3467,3689,29.97,19.41,12.04,1241,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,23-10-2021,,,,,705158,,,,5594,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,23-10-2021,,,,,576,,,,5699,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
Jordan,JOR,23-10-2021,7330320,3869489,3460831,19874,14814,71.38,37.68,33.7,1443,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Jordan,https://corona.moh.gov.jo/ar
Kazakhstan,KAZ,23-10-2021,15446184,8145620,7300564,51823,49257,81.32,42.88,38.43,2593,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,23-10-2021,4930336,3504400,1425936,27564,61451,8.97,6.37,2.59,1118,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2021/11/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-15TH-NOVEMBER-2021.pdf
Kiribati,KIR,23-10-2021,,,,,1065,,,,8774,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,23-10-2021,1532585,834857,697728,7355,5025,86,46.85,39.15,2820,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2139656159525293/
Kyrgyzstan,KGZ,23-10-2021,1661058,944443,714684,4786,9749,25.06,14.25,10.78,1471,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,23-10-2021,,,,,,,,,,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://www.facebook.com/photo/?fbid=249464647216471&set=a.228059059357030
Latvia,LVA,23-10-2021,1870201,1100688,976201,10092,12516,100.17,58.96,52.29,6704,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,23-10-2021,3189569,1728122,1461447,765,11608,47.12,25.53,21.59,1715,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liberia,LBR,23-10-2021,,,,,14418,,,,2783,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Libya,LBY,23-10-2021,,,,,9535,,,,1370,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Liechtenstein,LIE,23-10-2021,48291,24846,24153,0,150,126.24,64.95,63.14,3921,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,23-10-2021,3349632,1794813,1709065,1259,5748,124.53,66.73,63.54,2137,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,23-10-2021,816550,429381,,1263,1505,128.63,67.64,,2371,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/en/datasets/donnees-covid19/#_
Macao,MAC,23-10-2021,,,,,5593,,,,8495,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/830634/
Malawi,MWI,23-10-2021,1183633,926939,533726,5524,5459,6.02,4.72,2.72,278,"Johnson&Johnson, Oxford/AstraZeneca",Ministry of Health,https://twitter.com/health_malawi/status/1460650440228589569
Malaysia,MYS,23-10-2021,48790891,25367709,23590256,109975,171327,148.86,77.4,71.97,5227,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,23-10-2021,748413,394049,354364,,509,137.67,72.49,65.19,936,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1460659367083053058
Mali,MLI,23-10-2021,,,,,38,,,,2,Oxford/AstraZeneca,World Health Organization,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3106082909621206
Malta,MLT,23-10-2021,866963,427948,426374,1544,2104,167.98,82.92,82.61,4077,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,23-10-2021,,,,,16690,,,,3495,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Mauritius,MUS,23-10-2021,,,,,2206,,,,1732,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Mexico,MEX,23-10-2021,114558359,69879788,52949966,600749,646610,87.94,53.65,40.65,4964,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/682081/2021.11.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,23-10-2021,1485935,,849435,2292,4220,36.93,,21.11,1049,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,23-10-2021,,,,,340,,,,102,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,23-10-2021,493462,255222,238240,1517,1382,78.57,40.64,37.93,2200,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,23-10-2021,,,,,1,,,,201,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Morocco,MAR,23-10-2021,,,,,179589,,,,4809,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Mozambique,MOZ,23-10-2021,,,,,42144,,,,1310,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Myanmar,MMR,23-10-2021,18089109,12387573,5701536,,361001,33.01,22.6,10.4,6587,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Namibia,NAM,23-10-2021,,,,,5680,,,,2195,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Nepal,NPL,23-10-2021,,,,,46266,,,,1559,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Netherlands,NLD,23-10-2021,,,,,12535,,,,730,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the Netherlands,https://coronadashboard.government.nl/landelijk/vaccinaties
New Caledonia,NCL,23-10-2021,,,,,2443,,,,8476,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,23-10-2021,6607792,3639346,2968446,42734,41226,128.99,71.04,57.95,8048,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,23-10-2021,,,,,22535,,,,3362,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Niger,NER,23-10-2021,,,,,7747,,,,308,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Nigeria,NGA,23-10-2021,8402127,5526303,2875824,,92596,3.97,2.61,1.36,438,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
North Macedonia,MKD,23-10-2021,,,,,2816,,,,1352,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Government of North Macedonia,http://zdravstvo.gov.mk/vkupno-aplicirani-1-641-733-dozi-vakcini-revakcinirani-46-od-polnoletnite-gragjani-vo-drzhavata/?cn-reloaded=1
Northern Cyprus,OWID_CYN,23-10-2021,,,,,1919,,,,5021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/
Northern Ireland,OWID_NIR,23-10-2021,2614760,1320807,1238606,3582,5913,137.91,69.66,65.33,3119,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,23-10-2021,7928310,4201267,3727043,72,3197,145.06,76.87,68.19,585,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,23-10-2021,5679984,3065137,2614847,,35460,108.74,58.68,50.06,6789,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://twitter.com/OmaniMOH/status/1457638580545851393
Pakistan,PAK,23-10-2021,100741762,68666464,38596890,,666044,44.73,30.49,17.14,2958,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Palestine,PSE,23-10-2021,,,,,28859,,,,5526,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Panama,PAN,23-10-2021,5396795,2967699,2354976,13215,8835,123.17,67.73,53.75,2016,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Papua New Guinea,PNG,23-10-2021,,,,,4778,,,,524,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Paraguay,PRY,23-10-2021,,,,,31740,,,,4396,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Peru,PER,23-10-2021,33828472,18626035,15029237,255545,205567,101.41,55.83,45.05,6162,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Philippines,PHL,23-10-2021,,,,,465984,,,,4196,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Department of Health via ABS-CBN Investigative and Research Group,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker
Poland,POL,23-10-2021,38621872,20113535,19830320,,48706,102.18,53.21,52.47,1289,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,23-10-2021,,,,,6624,,,,651,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,23-10-2021,4807293,,,1359,2848,164.04,,,972,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,23-10-2021,11740280,,5876290,127366,86598,61.38,,30.72,4527,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/
Russia,RUS,23-10-2021,100766655,52861352,,735981,597387,69.06,36.23,,4094,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,23-10-2021,5394793,3632110,1762683,,94149,40.63,27.36,13.28,7091,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Saint Kitts and Nevis,KNA,23-10-2021,,,,,69,,,,1289,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Saint Lucia,LCA,23-10-2021,,,,,349,,,,1893,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.covid19response.lc/
Saint Vincent and the Grenadines,VCT,23-10-2021,39324,23745,15579,1187,216,35.34,21.34,14,1941,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/photos/a.872174376176320/5047661741960875/
Samoa,WSM,23-10-2021,,,,,792,,,,3957,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
San Marino,SMR,23-10-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Sao Tome and Principe,STP,23-10-2021,,,,,366,,,,1639,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Saudi Arabia,SAU,23-10-2021,45172188,24057315,21114873,80401,92916,127.82,68.07,59.75,2629,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,23-10-2021,8719161,4305582,3892224,37148,31962,159.52,78.77,71.21,5847,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Serbia,SRB,23-10-2021,6948020,3118348,2982313,,35017,101.11,45.38,43.4,5096,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Seychelles,SYC,23-10-2021,,,,,581,,,,5874,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Sierra Leone,SLE,23-10-2021,,,,,11080,,,,1361,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Singapore,SGP,23-10-2021,10012470,4751524,4695624,22930,22921,183.59,87.13,86.1,4203,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://covid19.who.int/
Sint Maarten (Dutch part),SXM,23-10-2021,,,,,28,,,,645,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Slovakia,SVK,23-10-2021,4798193,2500765,2297428,1307,3185,87.87,45.8,42.07,583,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,23-10-2021,2294506,1183073,1111433,357,2346,110.38,56.91,53.47,1129,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,23-10-2021,,,,,839,,,,1192,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,23-10-2021,,,,,2994,,,,183,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
South Africa,ZAF,23-10-2021,21300098,14742868,11546163,,178572,35.48,24.55,19.23,2974,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,23-10-2021,75356627,40799195,36011516,385779,453091,146.88,79.52,70.19,8831,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
South Sudan,SSD,23-10-2021,,,,,830,,,,73,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Spain,ESP,23-10-2021,,,,,42160,,,,902,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211116.ods
Sri Lanka,LKA,23-10-2021,27966717,14928248,13038469,165381,68354,130.09,69.44,60.65,3180,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-16-11_10_21_1.pdf
Suriname,SUR,23-10-2021,440557,246469,194088,1018,2007,74.44,41.65,32.8,3391,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,23-10-2021,,,,,9435,,,,929,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,23-10-2021,11040763,5701791,5457813,14858,20249,126.68,65.42,62.62,2323,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Syria,SYR,23-10-2021,,,,,1050,,,,57,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
